epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,217.903,0.47818,0.7818,0.80471,1,0.77343,0.87332,0.723,0.68319,1.3422,0.79997,0.000502444,0.000502444,0.000502444
31,225.024,0.49314,0.71372,0.81535,1,0.77343,0.87332,0.723,0.68319,1.3422,0.79997,0.00049532,0.00049532,0.00049532
32,232.043,0.47313,0.79541,0.81224,1,0.77344,0.87329,0.71746,0.71496,1.32194,0.8045,0.000486612,0.000486612,0.000486612
33,239.498,0.58998,0.79244,0.81137,1,0.77311,0.87329,0.72076,0.66984,1.37826,0.80432,0.00047632,0.00047632,0.00047632
34,246.521,0.5338,0.75551,0.81951,1,0.77311,0.87329,0.72076,0.66984,1.37826,0.80432,0.000464444,0.000464444,0.000464444
35,253.608,0.49861,0.71966,0.79459,1,0.77317,0.87326,0.74441,0.63411,1.39196,0.80656,0.000450984,0.000450984,0.000450984
36,260.677,0.53358,0.90348,0.82853,1,0.85778,0.88548,0.75297,0.64751,1.3949,0.80431,0.00043594,0.00043594,0.00043594
37,267.738,0.5153,0.76804,0.79022,1,0.85778,0.88548,0.75297,0.64751,1.3949,0.80431,0.000419312,0.000419312,0.000419312
38,274.801,0.46802,0.73932,0.78728,1,0.86753,0.88551,0.75546,0.64698,1.3263,0.80224,0.0004011,0.0004011,0.0004011
39,281.888,0.46817,0.78693,0.85955,1,0.87242,0.88551,0.74226,0.68048,1.26549,0.80278,0.000381304,0.000381304,0.000381304
40,289.018,0.46604,0.73272,0.78255,1,0.87242,0.88551,0.74226,0.68048,1.26549,0.80278,0.000359924,0.000359924,0.000359924
41,296.188,0.36712,0.8866,0.78146,1,0.87394,0.8855,0.75727,0.6769,1.22672,0.79964,0.00033696,0.00033696,0.00033696
42,303.462,0.42159,0.90784,0.81283,1,0.87418,0.88549,0.76863,0.65601,1.18637,0.79538,0.000312412,0.000312412,0.000312412
43,310.426,0.40456,0.87788,0.77022,1,0.87418,0.88549,0.76863,0.65601,1.18637,0.79538,0.00028628,0.00028628,0.00028628
44,317.553,0.45845,0.89897,0.81701,1,0.87379,0.88548,0.759,0.63364,1.1993,0.79345,0.000258564,0.000258564,0.000258564
45,324.484,0.43785,0.94084,0.8103,1,0.87379,0.88548,0.759,0.63364,1.1993,0.79345,0.000229264,0.000229264,0.000229264
46,331.488,0.39129,0.85737,0.76581,1,0.87335,0.88548,0.75325,0.62451,1.2003,0.79421,0.00019838,0.00019838,0.00019838
47,338.447,0.35741,0.91151,0.77745,1,0.87335,0.88548,0.75325,0.62451,1.2003,0.79421,0.000165912,0.000165912,0.000165912
48,345.481,0.40865,0.90013,0.81935,1,0.87347,0.88547,0.75325,0.62322,1.17537,0.79553,0.00013186,0.00013186,0.00013186
49,352.711,0.37948,0.91535,0.79059,1,0.87347,0.88547,0.75325,0.62322,1.17537,0.79553,9.6224e-05,9.6224e-05,9.6224e-05
50,359.903,0.3985,0.91027,0.77174,1,0.87403,0.88547,0.75324,0.6214,1.15767,0.79629,5.9004e-05,5.9004e-05,5.9004e-05
