epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85693,0.45949,0.93357,0.81339,1,0.88418,0.995,0.85783,0.64465,1.30935,0.79507,2e-05,2e-05,2e-05
2,16.5462,0.41865,0.8203,0.79921,1,0.86772,0.995,0.85527,0.71539,1.37003,0.7995,5.8812e-05,5.8812e-05,5.8812e-05
3,24.0814,0.42307,0.78135,0.76574,1,0.86134,0.9675,0.79233,0.7358,1.29122,0.80034,9.604e-05,9.604e-05,9.604e-05
4,30.9892,0.39775,0.74653,0.73689,1,0.86354,0.88569,0.73554,0.63389,1.26038,0.79036,0.000131684,0.000131684,0.000131684
5,37.8298,0.4593,0.75078,0.80736,1,0.83058,0.88567,0.75602,0.62143,1.31991,0.79211,0.000165744,0.000165744,0.000165744
6,44.9228,0.45541,0.78595,0.82458,1,0.7736,0.8855,0.72932,0.6635,1.53643,0.80235,0.00019822,0.00019822,0.00019822
7,51.909,0.42447,0.81365,0.77783,1,0.77096,0.88552,0.74265,0.69145,1.72617,0.80726,0.000229112,0.000229112,0.000229112
8,58.8136,0.3619,0.93645,0.75729,1,0.81749,0.88551,0.75518,0.65972,1.63306,0.80636,0.00025842,0.00025842,0.00025842
9,65.8562,0.41231,0.86333,0.79252,1,0.85748,0.8855,0.73974,0.66826,1.51393,0.80622,0.000286144,0.000286144,0.000286144
10,73.1831,0.46782,0.79364,0.7885,1,0.87165,0.88545,0.72484,0.6973,1.37717,0.80813,0.000312284,0.000312284,0.000312284
11,80.1658,0.46092,0.90495,0.78971,1,0.87718,0.88539,0.72261,0.74729,1.34474,0.81426,0.00033684,0.00033684,0.00033684
12,87.2061,0.50555,0.74313,0.77854,1,0.87769,0.88518,0.70473,0.77258,1.39916,0.82106,0.000359812,0.000359812,0.000359812
13,94.4199,0.47102,0.94516,0.80387,1,0.87804,0.88518,0.72631,0.74027,1.42613,0.81954,0.0003812,0.0003812,0.0003812
14,101.421,0.4785,0.85625,0.76871,1,0.87816,0.88518,0.74669,0.67231,1.43713,0.81518,0.000401004,0.000401004,0.000401004
15,108.707,0.49323,0.80134,0.8128,1,0.88255,0.88518,0.73135,0.63067,1.37365,0.80925,0.000419224,0.000419224,0.000419224
16,116.377,0.49987,0.8841,0.79937,0.95646,0.88889,0.88518,0.70397,0.62344,1.32103,0.80596,0.00043586,0.00043586,0.00043586
17,124.742,0.46307,0.86038,0.83222,1,0.77293,0.87295,0.71524,0.65817,1.36595,0.80254,0.000450912,0.000450912,0.000450912
18,131.802,0.45431,0.73424,0.81888,1,0.77227,0.77585,0.64463,0.73067,1.4294,0.8134,0.00046438,0.00046438,0.00046438
19,139.034,0.4757,0.78725,0.7933,1,0.77179,0.77561,0.65018,0.74613,1.46861,0.82519,0.000476264,0.000476264,0.000476264
20,146.579,0.49179,0.79727,0.83535,1,0.7709,0.77568,0.66615,0.69957,1.47937,0.82182,0.000486564,0.000486564,0.000486564
21,153.771,0.47,0.80098,0.81831,1,0.76991,0.77606,0.66633,0.64626,1.53117,0.81141,0.00049528,0.00049528,0.00049528
22,160.847,0.48466,0.82614,0.74836,0.99058,0.66667,0.76256,0.64146,0.63186,1.46459,0.8031,0.000502412,0.000502412,0.000502412
23,168.389,0.45258,0.7542,0.8241,0.99006,0.66667,0.842,0.71597,0.6363,1.3742,0.79627,0.00050796,0.00050796,0.00050796
24,175.696,0.47207,0.72572,0.82494,0.99018,0.66667,0.80018,0.67864,0.66674,1.36166,0.79487,0.000511924,0.000511924,0.000511924
25,182.71,0.44194,0.71505,0.79886,1,0.77024,0.8434,0.71113,0.6907,1.42266,0.79885,0.000514304,0.000514304,0.000514304
26,189.7,0.47389,0.69921,0.80229,1,0.76931,0.79084,0.67263,0.67618,1.49599,0.80461,0.0005151,0.0005151,0.0005151
27,196.813,0.51487,0.78039,0.78951,1,0.76981,0.77784,0.67077,0.65113,1.49625,0.80311,0.000514312,0.000514312,0.000514312
28,203.756,0.51057,0.75869,0.82151,1,0.76981,0.77784,0.67077,0.65113,1.49625,0.80311,0.00051194,0.00051194,0.00051194
29,210.87,0.45101,0.71579,0.8003,1,0.77204,0.79703,0.65904,0.63363,1.39295,0.79724,0.000507984,0.000507984,0.000507984
